"","SITE","SST_range","SST_Mean","DATE_","COLONYLENGTH","MAX_DEPTH_M","Area_surveyed_m2","PER_DEAD","LATITUDE","LONGITUDE","YEAR","TAIL_BINS","Data_Source","Bleaching_Period"
"134","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",9,10.9728,60,0,-14.332425,-170.824373,2025,"Q20","esa","Post-Bleaching"
"135","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",12,10.9728,60,10,-14.332425,-170.824373,2025,"Q20","esa","Post-Bleaching"
"136","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",6,10.9728,60,0,-14.332425,-170.824373,2025,"Q20","esa","Post-Bleaching"
"137","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",15,10.9728,60,40,-14.332425,-170.824373,2025,"QMED","esa","Post-Bleaching"
"138","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",66,10.9728,60,60,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"139","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",27,10.9728,60,50,-14.332425,-170.824373,2025,"QMED","esa","Post-Bleaching"
"140","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",70,10.9728,60,60,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"141","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",37,10.9728,60,10,-14.332425,-170.824373,2025,"QMED","esa","Post-Bleaching"
"142","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",25,10.9728,60,5,-14.332425,-170.824373,2025,"QMED","esa","Post-Bleaching"
"143","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",37,10.9728,60,25,-14.332425,-170.824373,2025,"QMED","esa","Post-Bleaching"
"144","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",115,11.5824,60,90,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"145","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",20,11.5824,60,25,-14.332425,-170.824373,2025,"QMED","esa","Post-Bleaching"
"146","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",160,11.5824,60,98,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"147","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",75,11.5824,60,70,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"148","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",110,11.5824,60,90,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"149","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",65,11.5824,60,97,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"150","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",115,11.5824,60,98,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
